id,primary_country,country_freq,article_text
3deecee02dba9cb11c3dda429f4f3181696915f1,US,"{'US': 4, 'NZ': 2, 'WS': 3, 'AS': 1, 'TO': 1}","(CNN) -- When an earthquake threatens to turn part of an ocean into fast-moving walls of water, tsunami warning scientists can do nothing for the first five minutes except wait for information. But within the next five minutes, they have to decide whether to issue a warning of danger. Brian Shiro has been a geophysicist at the Pacific Tsunami Warning Center for four years. And you thought your job was high pressure. ""If we see a set of circumstances and it fits into our criteria for [the] event, we just follow that criteria because we don't have much time to think. There isn't a lot of time for decision-making,"" said Paul Whitmore, director of the West Coast and Alaska Tsunami Warning Center. ""Weighing back there [in your mind] also is the effect of your decision. If the effect of your decision is going to evacuate the entire West Coast waterfront, you don't want to take that lightly,"" he said. With Tuesday's tragic tsunami that engulfed villages in Samoa and American Samoa, the pace of events was so frenetic that the Pacific Tsunami Warning Center in Ewa Beach, Hawaii --which tracks earthquakes and tsunamis for countries throughout the Pacific Ocean, Indian Ocean and Caribbean Sea -- had already been alerted to the looming disaster by the time the seismometer evidence came in. ""The National Weather Service director in American Samoa called the Pacific Tsunami Warning Center a few seconds before the alarms went off here, so we had an advanced warning and we were already sitting at the computer, looking at the data in real time,"" said Brian Shiro, a Pacific warning center geophysicist. It can take 30 seconds to five minutes for information from earthquake sensors placed strategically around the globe to roll into the two U.S. tsunami warning centers. When there's a clear tsunami threat, the center's operation room -- built to accommodate the two workers on duty -- becomes flooded with people all jostling to offer assistance. The phone lines consistently ring and ""people are yelling at each other so everyone will be on the same page, and you don't miss something important that someone else caught,"" said Bill Knight, a West Coast and Alaska warning center scientist. Scientists must ""locate the earthquake and then determine based on the science data whether there should be just a normal bulletin or whether there should be a warning,"" said Laura Kong, director of the International Tsunami Information Center. She added that it took the Pacific warning center 15 minutes to issue a warning for Tuesday's tsunami. This wasn't because the center's scientists were moving slowly, Shiro said, but a result of the sparse number of seismic stations in the Southwest Pacific region. The fewer stations there are, the longer it takes for scientists to receive adequate information. ""There was no delay yesterday,"" he said. ""You're only restricted by the earth itself and how fast the seismic waves can travel."" As a result, workers at the two U.S. warning centers said they often have to make decisions based on incomplete information, erring on the side of caution by issuing a tsunami warning and canceling it later if more monitoring reveals a less dangerous situation. ""It can be a lot of pressure at first, and you have to get used to that,"" Shiro said. ""You do have a lot of responsibility on your shoulders: You have to act quickly and sometimes you have to issue your very first initial message based on incomplete information, because one of the important factors is time and you want to get it out."" Since the catastrophic Indian Ocean tsunami in 2004, the question of time has become more critical to tsunami warning scientists. The staff has doubled at the Pacific warning center, and when they're ""on shift,"" they sleep in on-site housing, said spokeswoman Delores Clark. The warning centers have turned into 24/7 operations. Scientist Knight and director Whitmore at the West Coast and Alaska center said constantly being on call does not interrupt their personal lives; neither of them have kids at home. Shiro, on the other hand, has a 2-year-old son and has to strike a balance. At first, his wife and son stayed with him when he was on shift, sleeping at the on-site housing with him. When that proved too disruptive, his family instead began visiting for meals and a bit of quality time during his weekly two-day shift. The Pacific center's on-site housing is unique, created so the workers can react to a tsunami whether they're fixing a meal or fast asleep, and while it may pose a slight inconvenience, it's all part of the job, Shiro said. The workers, drawn to the position by a mutual love of geophysical science, consider themselves lucky to work in one of the few science fields that allows them to do research while making a difference in people's lives. Instances such as Tuesday's tsunami, which killed at least 130 people, provide them with perspective on the importance of their position and the need for more tsunami education. Shiro is encouraging the Pacific center to use social networking as a tool, considering the massive response he got after he tweeted live updates Tuesday. For Knight, it's getting the word out about what to look for when disaster is imminent. ""One of the reasons we have an outreach program is because we know that people can't wait for us to make a decision,"" Knight said. ""If the ground is shaking for more than 20 seconds, you're experiencing a large earthquake and the more likely it is that a tsunami is going to happen."" International Tsunami Information Center director Kong, whose work emphasizes the need for better, more local warning systems and education around the globe, agreed. ""It's especially tragic when you know that a number of us were in American Samoa and Tonga in July talking about tsunamis, telling them that in the worst case scenario they would only have 10 to 20 minutes and asking them to plan the best they could,"" she said. ""We kind of have a feeling when we're issuing those messages that something like this might happen, and it's your worst nightmare when it does come true. It's not a good feeling the next day when the numbers start to increase,"" she said. ""We can't prevent the tsunami from happening; it's going to happen. We can only do our best right now and plan beforehand, because when it does happen, there's just no time."""
c327a45bce74b6e46e2b8e26c7c358dc5d211133,ID,"{'ID': 12, 'NO': 4}","(CNN) -- One of the world's largest pulp and paper companies is destroying Indonesia's rainforests and taking away the habitat of rare animals, environmental group Greenpeace charged Tuesday. The Greenpeace report accuses Asia Pulp and Paper of ""relentlessly trashing rainforests, driving species extinction and, if left unchecked, will threaten Indonesia's efforts to address climate change."" APP, a division of Sinar Mas, denied the charges levied by Greenpeace, including the alleged expansion of logging operations by 17 million hectares (42 million acres). ""The allegations are totally illogical and untrue, Asia Pulp and Paper has no plans for the expansions in question,"" said Aida Greenbury, an APP spokeswoman, who said the Indonesian government has publicly announced that their quota for pulp and paper is 10 million hectares (25 million acres) by 2014. ""I urged Greenpeace to do a proper research before putting such allegations"" Greenbury added. Sinar Mas, which also has a palm oil arm, has long be a target of Greenpeace efforts to curb deforestation. The environmental group says the land cleared for palm oil plantations, and for pulp and paper products is doing long-term damage to Indonesia's rainforests and the environment. Greenpeace says a $1 billion deal between Norway and Indonesia announced in May to reduce greenhouse gas emissions through a moratorium on logging has a loophole that would allow APP to clear sensitive forest and peatlands. ""Millions of hectares of forests -- including hundreds of thousands of hectares under Sinar Mas control -- are not part of the deal with Norway,"" said Bustar Maitar, a Greenpeace Southeast Asia forest campaigner. ""This loophole will undermine all attempts to reduce Indonesia's emissions. President (Susilo Bambang) Yudhoyono must act immediately by implementing a moratorium on all forest destruction and ensure the protection of peatlands. Only then will we be able to really reduce Indonesia's GHG emissions."" Indonesia is one of the world's largest emitters of greenhouse gases because of rampant clearing and burning of its forests and peat lands for logging and conversion into palm oil plantations. The country has long been a target of harsh criticisms from environmental groups who have accused the government of failing to enforce its own laws. Yudhoyono said in May that Indonesia would ""conduct a moratorium for two years where we stop the conversion of peat land and of forest."" He was joined by Norwegian Prime Minister Jens Stoltenberg, who said Norway would provide $1 billion to Indonesia to help with the effort to reduce deforestation. ""Indonesia is a key country in terms of reducing deforestation. Therefore this agreement and Indonesia's commitment is a great step forward in achieving large-scale reductions in greenhouse gas emissions,"" Stoltenberg said. Yudhoyono said the halt on new concessions would start in 2010 as part of a broader strategy to reduce the nation's greenhouse gas emissions by at least 26 percent by 2020. Deforestation accounts for almost a fifth of total greenhouse gas emissions that cause climate change. The Indonesia-Norway partnership to cut emissions is part of a broader international strategy called Reduced Emissions from Deforestation and Degradation, or REDD, that would make stored carbon dioxide in tropical forests a commodity that can be bought and sold on the global market."
0c583c71f1ceddb9569f6d8588f62108ca645b91,KP,"{'KP': 4, 'CN': 3}","(CNN) -- Kim Jong Un, successor to his father's dictatorship over North Korea, will have to find ways to balance political factions and generate revenue -- or he may not remain in power for long, analysts said Tuesday. Shrouded in mystery and believed to be only in his late 20s, Kim marks the third generation in his family to officially reign over the so-called Hermit Kingdom. ""It's unprecedented in modern times,"" said John Park, an expert on the region with the Harvard Kennedy School's Belfer Center for Science and International Affairs. A popular expression, Park said, summarizes one central reason that third-generation dynasties don't occur. ""The first generation makes the wealth; the second generation manages the wealth; the third generation squanders the wealth,"" he said. Kim Jong Il inherited power from his father, a military leader who built a new North Korean economy. Kim Jong Il maintained a fierce grip, partly through building his country's nuclear arsenal. It is unknown whether Kim Jong Un has the skills, knowledge or training to lead his country through the next era. North Korea does not function as a ""normal nation state"" through imports, exports and taxes, Park said. ""Kim Jong Il ran a system that was based on competition among senior officials"" who controlled economic institutions such as trading companies. ""The way to view Kim Jong Un is almost as a CEO of North Korea Inc.,"" Park said. ""He either makes money on a recurring basis or he's out. The fact that he's the youngest son won't matter if he can't produce the cash."" Christian Caryl, an editor of foreignpolicy.com, said the younger Kim's lack of experience does not bode well. ""I personally put the odds fairly low"" that he will succeed in power, he said. North Koreans ""know much more about the world than they did"" when Kim Jong Il came to power, said Caryl, who last visited a few years ago. ""They've watched DVDs of South Korean soap operas. People know about China -- and China is light years ahead of North Korea."" ""You can no longer expect people to believe in the Kim name the way they used to,"" he said. The government still deprives its citizens of basic rights and freedoms, and there is little risk of any popular protest against a leader, Park said. If something were to end Kim Jong Un's time in power, it would be battling forces within the North Korean power structure. ""There are different factions and interest groups,"" Caryl said. ""I wouldn't say organized power blocs, but groups that have big business interests now because they've also been trading with China."" ""These things begin to get complicated very quickly"" for a new leader at the helm, Caryl said. Jayshree Bajoria of the Council on Foreign Relations writes that ""even with a successor, North Korean observers have for some time feared a behind-the-scenes power struggle or nuclear instability after Kim Jong-Il's death."" Still, ""some experts doubt that Kim's death will lead to chaos,"" Bajoria writes, noting that the country has shown resilience in the past. In the region, analysts and government leaders are looking at early indications in an effort to read the tea leaves. ""Over the span of some 50 hours, North Korea was very effectively able to conceal the death of Kim Jong Il, successfully make the announcement of his death. Seeing that it has gone smoothly so far without any bumps, we can relatively carefully speculate that the leadership is relatively well-grounded,"" South Korean intelligence committee chairman Kwon Young-se said Tuesday in an interview with CNN. ""But at the same time, Kim Jong Un is still very young and has only gone through a short period of time for grooming as an heir. Also, Kim Jong Il died all of a sudden without having been able to fully accelerate the process of the succession. Depending on the balance between the new people that support Kim Jong Un and the older generation that upheld Kim Jong Il, things may not necessarily go smoothly within the leadership,"" he said."
f7ef47b6d6d9963c4801bb0c472629238a38740b,IQ,{'IQ': 12},"Baghdad (CNN) -- At least 16 people were killed and dozens were injured in attacks across Iraq Monday amid an apparent uptick in sectarian tensions. Most of the attacks targeted Shiites, including bomb blasts that injured pilgrims traveling to shrines just days before a religious celebration. Four Shia pilgrims were killed and six were injured when a car bomb exploded in Baghdad's Karrada district, Iraq's Interior Ministry said. Read more: One year later, Iraq war's legacy remains unclear . And four Shia pilgrims were injured when three car bombs exploded simultaneously in the town of Balad Rouz, said Muthana Altimimi, head of the security and defense committee in Diyala province. Thursday will mark 40 days after Ashura, which commemorates the death of the Prophet Mohammed's grandson. Shiite pilgrims often mark the occasion by traveling to shrines. Violence also erupted outside Baghdad. Seven people were killed and four were injured after their houses were bombed in the city of Mussyab, about 80 kilometers (50 miles) south of the Iraqi capital, the Interior Ministry said. It was unclear who was responsible for the blast or why the houses were targeted. Monday's attacks come amid rising sectarian tensions, as tens of thousands of Sunni demonstrators nationwide protest what they say is second-class treatment by Iraq's Shiite-led government. Sunnis largely boycotted Iraq's 2005 elections, leading to the emergence of a Shiite-led government. The move left the once-ruling minority disaffected, which contributed to years of bloody insurgency and sectarian warfare. Read more: Clashes erupt at Iraqi protest as sectarian tensions flare . The arrest of a group of bodyguards for Iraq's Sunni finance minister fueled a surge in protests last week in Ramadi, about 110 kilometers (70 miles) west of Baghdad, and in several other Iraqi cities. At least five people were injured Sunday when bodyguards for a top Iraqi official opened fire on stone-throwing Sunni demonstrators, the country's Interior Ministry said. The clashes broke out after Deputy Prime Minister Saleh al-Mutlaq, who is Sunni, arrived to address crowds protesting in a plaza in Ramadi. In the wake of the protests, Prime Minister Nuri al-Maliki has defended his government. ""Nobody in Iraq has privilege over others,"" he said Friday, calling for increased dialogue. ""When we want to express an opinion, we have to do it in a civilized, humane and patriotic manner,"" he said. ""It is not expected to express your opinion by cutting off roads, steering strife and sectarianism, fighting, bragging about wars and dividing Iraq."" CNN's Yousuf Basil and Catherine E. Shoichet contributed to this report from Atlanta."
e439517292eaeab7ffead2af6ba826017b2d2f61,CU,{'CU': 2},"Atlanta (CNN) -- Former U.S. President Jimmy Carter and his wife, Rosalynn, will travel Monday to Havana, Cuba, for a visit at the invitation of the Cuban government, the Carter Center announced Friday. During the trip, which will last through Wednesday, they will meet with high-level officials of the communist regime, including President Raul Castro, and other Cuban citizens ""to learn about new economic policies and the upcoming Party Congress, and to discuss ways to improve U.S.-Cuba relations,"" the Atlanta, Georgia-based center said in a written statement. The trip is being undertaken as a private, nongovernmental mission under the auspices of the not-for-profit Carter Center. Carter last visited the island in May 2002, becoming the first former or sitting U.S. president to travel to Cuba since 1928. In a speech broadcast live on Cuban radio and television, Carter, speaking in Spanish, called on the United States to end its ""ineffective 43-year-old economic embargo"" on the island. He also called on then-President Fidel Castro to hold free elections, improve human rights, and allow greater civil liberties. ""Analysts said it was the first time in 43 years that citizens had heard any public criticism of the Cuban government, much less direct condemnation of human rights violations,"" Carter wrote in his report from the trip, referring to the time since Castro had been in power. ""I anticipated President Castro would be upset, but he greeted me after the session."""
4d0dc17c4ad398906ac103f476d9355f169a7d87,US,"{'US': 5, 'AU': 1, 'BS': 1}","(CNN) -- New York's famous skyline may be getting a new addition: Wind turbines. New York Mayor Michael Bloomberg says he wants to generate alternative energy for the city. New York Mayor Michael Bloomberg announced plans to generate power from skyscraper-mounted turbines and offshore wind farms as part of an ambitious alternative-energy program. During a Tuesday night speech at an energy conference in Las Vegas, Nevada, Bloomberg vowed to ""kick alternative energy production into high gear in the Big Apple."" Bloomberg said the city is already asking companies with strong track records in producing renewable energy for ""their best ideas for creating both small- and large-scale projects serving New Yorkers."" He was not specific about which of the city's skyscrapers or bridges would be candidates for turbines, but aides said some companies are experimenting with smaller turbine models that could be made to appear part of the design, reducing potential changes to the city's famous skyline. For offshore locations, city aides told CNN the city is looking at the windy coast off Queens, Brooklyn and Long Island for turbines that could generate 10 percent of the city's electricity needs within 10 years. Bloomberg said he would also ask investors and private companies to study how these technologies can be built and integrated into the city's fabric. ""When it comes to producing clean power, we're determined to make New York the No. 1 city in the nation,"" he said.  Watch Bloomberg outline his alternative energy hope for New York » . But he said the alternative power projects that are now on the drawing board ""won't produce their first kilowatts of electricity for many years."""
cf9840f55e863768468593d034a8d2e8b60f2a3c,GB,"{'IE': 4, 'GB': 6, 'IT': 3, 'FR': 2}","Ireland kept alive their Six Nations championship hopes with a narrow 21-18 win over Scotland at Murrayfield Sunday. It leaves them with two wins against one defeat but they owed victory to veteran fly-half Ronan O'Gara, who scored 11 points with a try and three conversions. Recalled to the starting XV to claim his 106th cap, the 33-year-old Munster star inspired the Irish, who also scored first half tries through Jamie Heaslip and Eoin Reddan. Scotland kept in the game thanks to the boot of Chris Paterson, who kicked five penalties and a Dan Parks drop goal, but they have now suffered three defeats and are battling Italy for the wooden spoon. On Saturday, England beat France 17-8 to stay on course for the grand slam with three straight wins and six points, while Wales edged Italy 24-16 in Rome. The win seed Ireland join France and Wales on four points, while Scotland are now staring down the barrel of a likely wooden spoon showdown with Italy having lost three in a row. First half tries from Heaslip and Reddan, both converted by O'Gara, always kept their noses in front, despite Paterson's usual metronomic kicking. When O'Gara  went over under the posts for his try, which he converted, the visitors led 21-9, but two more penalties from Paterson after the drop goal from Parks set up a nervy finish as Andy Robinson's men scented a late comeback. But the Irish withstood a late onslaught and O'Gara was delighted. ""It was very tight, but that has been our tournament so far with just one score difference in all three matches,"" he told AFP. Ireland next face Wales in Cardiff in two weeks time before entertaining England in Dublin in a match which could decide the championship and the grand slam."
3a00cfd7ef02b9e00ca88fc42ce732fae239c419,US,{'US': 1},"(CNN) -- A Massachusetts grand jury has indicted a 98-year-old woman, accused of strangling her 100-year-old nursing-home roommate, on a second-degree murder charge. Prosecutors say Laura Lundquist killed centenarian Elizabeth Barrow, a resident of Brandon Woods Nursing Home in Dartmouth, after the two women had an argument over a table Lundquist had placed at the foot of Barrow's bed. Barrow was found dead September 24 with a plastic shopping bag tied loosely around her head, according the Bristol County district attorney's office. An autopsy indicated Barrow had been strangled. Barrow complained that the table obstructed her path to the bathroom, authorities said. When a nurse's aide moved it, Lundquist punched the aide and grumbled that her roommate ""might as well have the whole room,"" prosecutors said. District Attorney C. Samuel Sutter said Barrow repeatedly complained that Lundquist was making her life ""a living hell"" in the weeks leading up to the woman's death, and that Lundquist remarked that she would outlive her roommate. A nursing home spokesman said the facility twice presented Barrow with the chance to change either rooms or roommates, but she declined each time. He compared the pair to ""sisters,"" saying they took ""daily walks together ... ate lunch together every day, and were heard at night saying, 'Good night, I love you,' to each other."" Lundquist's attorney, Carl Levin, contends his client was not involved in Barrow's death, saying, ""We maintain her innocence."" A superior court judge granted a motion to send Lundquist to a state hospital for a competency evaluation. An arraignment will be held only if Lundquist is found competent to stand trial."
a89edbfe9c26f5f423d9448eda6e1e9bcb4dabf0,AF,"{'AF': 1, 'GB': 1, 'DE': 1}","(CNN) -- ""Call of Duty: Modern Warfare 3"" continues the franchise's tradition of high action, detailed fighting and a highly competitive multiplayer mode while still trying to let players play the way they want. The latest in the wildly successful series hits all the right notes in both its cinematic single-player campaign and its intense multiplayer mode. They also bring back the ""Special Ops"" mode from ""Modern Warfare 2,"" combining the best of both. The single-player campaign, while short, takes you hopping around the globe to major cities in the world's most powerful countries. Instead of battling in traditional hotspots (i.e., locales like Afghanistan), the story puts the player in Manhattan, London and Berlin to name a few. Each city is richly detailed and the combat, against opponents run by a smart artificial-intelligence program, is intense. The pacing from city to city varies based on mission and storyline presented in each location. One city will be frantic while another city might be a bit slower. But all are engaging. There are some unexpected, and tragic, moments played out in the single-player campaign's story. But they combine to bring the ""Modern Warfare"" story to a satisfying end. I wish it would have lasted longer, but the plot flowed nicely. The ""Special Ops"" mode takes the intense AI from the single-player game and adds elements that are usually found in multiplayer action. Creative strategist Robert Bowling said the development team wanted to give people who normally only tackle the single-player campaign the opportunity to experience some of the rewards only found during online multiplayer play. ""We noticed there were a lot of experiences that you were missing out on if you only played single player or, vice versa, you only played multiplayer,"" Bowling said. ""We wanted to find a platform that allowed the type of player from each of those to have those shared experiences rather than missing out because it wasn't their style of play."" Sixteen missions tie in to the campaign. Along the way, players earn credit for achievements like kill streaks and customizing weapons. There's a progressive ranking system that lets even the most ""lone wolf"" player climb up the leaderboard. The Survival mode is particularly grueling, with wave after wave of opponents coming after you. The core of the multiplayer action stays pretty true to the franchise's roots. Huge battles, lots of action and an experience-point system keep players involved and interested. Most of the modes remain the same with one new additional mode. Collecting tags from dead bodies adds a cool twist to straightforward killing of an opponent and actually promotes teamwork, something that's lacking from time to time in multiplayer action. There are 16 new maps to set the scene of your victories. Bowling said there are 30 million players who have played ""Call of Duty"" online and a new Elite program will help provide stats, tips and bring together the franchise community without dividing them among consoles. He also tweeted on Day One that the game's makers have already had to ban gamers from leaderboards -- and from playing altogether -- for trying to play unfairly or artificially boost their rankings. While the multiplayer mode hasn't changed much, it never really needed to. The ""Modern Warfare"" franchise has a great track record of addictive online play that remains enjoyable and exciting. Fast and furious multiplayer action, a cinematic single-player campaign and a Special Ops mode offering the experience of both takes ""Call of Duty: Modern Warfare 3"" to the top of the class. At least until the next one comes out. ""Call of Duty: Modern Warfare 3"" is available now for the PC, PlayStation 3 and Xbox 360. It is rated M for mature due to blood and gore, drug references, intense violence and strong language. This review was done using the Xbox 360 version."
0722eb694b993eb3731c1237ac89ce09aa46948c,US,{'US': 1},"(CNN) -- Time is running out for congressional Republicans and President Barack Obama to strike a deal to avert the fiscal cliff. If the two parties can't come to an agreement before the end of the year, a combination of broad tax hikes and deep government spending cuts take effect . Experts warn of a new recession if Washington goes over the fiscal cliff. Here's a by-the-numbers look at the fiscal cliff and its impact: . The current situation: . $16.3 trillion -- The amount of the current national debt. 71% -- The percentage of every tax dollar going to support Medicare, Medicaid, Social Security and interest on the debt. 2026 -- The year that all federal tax revenue could potentially go to supporting Medicare, Medicaid, Social Security and interest on the debt, unless changes are made. Fiscal cliff talks still hung up on taxes . What the fiscal cliff will do: . January 2, 2013 -- The date that automatic tax increases and spending cuts will go into effect, unless a deal is reached. $7 trillion -- The total amount of tax increases and spending cuts included in the fiscal cliff, spread out over the next 10 years. $1.2 trillion -- The amount of deficit reduction possible over the next 10 years, with the fiscal cliff's spending cuts and tax increases. Democratic source: GOP calling for permanent extension of cuts for wealthiest 2% . $55 billion -- The amount expected to be cut from non-defense spending in 2013. This includes education, aviation safety and other programs. $55 billion -- The amount the Department of Defense will have to cut from discretionary spending in 2013. $500 billion -- The amount the Department of Defense faces in potential cuts over 10 years. Mother with autistic son worried what fiscal cliff could do to her family . 90% -- The percentage of Americans who will pay more taxes in 2013, if a deal on the fiscal cliff isn't reached. $2,000 -- Amount the Tax Policy Center estimates that middle class families will have to pay in additional taxes in 2013, if a deal isn't reached. Proposals: . $1.4 trillion -- The amount the White House has proposed in new tax revenues, to reduce the deficit. $800 billion -- The amount that the GOP has proposed to reduce the deficit, by enacting tax reform and eliminating some deductions and loopholes. Polls: . 49% -- The percentage of people polled who approve of President Barack Obama's handling of the fiscal cliff negotiations. 25% -- The percentage of people polled who approve of House Speaker John Boehner's handling of the fiscal cliff negotiations. Polls show Obama has more public support in fiscal cliff talks . 42% -- The percentage of people polled who disapprove of President Barack Obama's handling of the fiscal cliff negotiations. 49% -- The percentage of people polled who disapprove of House Speaker John Boehner's handling of the fiscal cliff negotiations."
